src,dst,similarity
DB00132,DB00513,0.36613607009758065
DB00132,DB00316,0.419507667
DB00132,DB00459,0.5131383275874005
DB00132,DB00210,0.5247159493976691
DB00132,DB00240,0.4756999943568147
DB00132,DB00523,0.5177294721108063
DB00132,DB00288,0.490823438
DB00132,DB01223,0.46195951897389764
DB00132,DB00233,0.4229816587869681
DB00132,DB01118,0.5238139566836215
DB00132,DB00415,0.3912867148708328
DB00132,DB01169,0.4226427715064173
DB00132,DB01076,0.43979094154694803
DB00132,DB01014,0.5432040874872762
DB00132,DB00394,0.4785833086068407
DB00132,DB00443,0.48000041834227797
DB00132,DB00307,0.5191876676100746
DB00132,DB01128,0.47470693341560627
DB00132,DB00963,0.4429536065745429
DB00132,DB01222,0.482192178
DB00132,DB00201,0.39200918796865913
DB00132,DB01197,0.3775259608212351
DB00132,DB00564,0.37261418921959444
DB00132,DB01136,0.36579302908875816
DB00132,DB01327,0.4097677974955227
DB00132,DB00482,0.36077655627534133
DB00132,DB00608,0.4443736838685119
DB00132,DB00269,0.43117080149569637
DB00132,DB01410,0.4796998713782745
DB00132,DB00537,0.4039693089190652
DB00132,DB00242,0.38281894737631555
DB00132,DB01013,0.4780573144560703
DB00132,DB00838,0.4767563847749073
DB00132,DB00845,0.3525480046261395
DB00132,DB00636,0.4995091214006782
DB00132,DB00882,0.44251118636922765
DB00132,DB00257,0.3893927237713015
DB00132,DB01394,0.3590572859578168
DB00132,DB01406,0.44106466396663047
DB00132,DB00694,0.40254357320703943
DB00132,DB00294,0.44677719672912936
DB00132,DB00547,0.48071648547289086
DB00132,DB00380,0.40233537684499693
DB00132,DB00586,0.3968732158189637
DB00132,DB00255,0.4546762821539863
DB00132,DB00223,0.4762467515212189
DB00132,DB00861,0.43366815583047696
DB00132,DB01070,0.4721243465900642
DB00132,DB00841,0.43275289419433866
DB00132,DB01248,0.3824403067755961
DB00132,DB00445,0.41923873738796247
DB00132,DB00366,0.37893349870772913
DB00132,DB01127,0.40955085106353906
DB00132,DB00467,0.42879991626082936
DB00132,DB00700,0.37666585163948857
DB00132,DB00783,0.4169762041492277
DB00132,DB01196,0.4406548489146978
DB00132,DB00286,0.41557008451328414
DB00132,DB00655,0.4561577536510499
DB00132,DB00903,0.36876553122172023
DB00132,DB00977,0.4518285437304245
DB00132,DB00754,0.37729122913843277
DB00132,DB00749,0.5384092547665401
DB00132,DB00773,0.40001368
DB00132,DB01039,0.5590576197332017
DB00132,DB00573,0.5656569781400073
DB00132,DB01099,0.4327411968197552
DB00132,DB00687,0.48984846458517134
DB00132,DB00180,0.47468796050895995
DB00132,DB00591,0.452219498
DB00132,DB01047,0.4692103354118733
DB00132,DB00324,0.4761723290396757
DB00132,DB00623,0.49439222816847117
DB00132,DB00846,0.47379172660696284
DB00132,DB00712,0.44024577848971586
DB00132,DB00499,0.4740637807133368
DB00132,DB00588,0.4789450032711214
DB00132,DB00947,0.4486448798990558
DB00132,DB01241,0.5118620803652675
DB00132,DB01067,0.5364223422460603
DB00132,DB01296,0.39259259626364457
DB00132,DB00596,0.47524529975221147
DB00132,DB00756,0.42967248414802744
DB00132,DB00635,0.48667438076288566
DB00132,DB01611,0.37350442618664603
DB00132,DB01050,0.4200602552519663
DB00132,DB01177,0.415256061
DB00132,DB01427,0.4295675999369888
DB00132,DB00328,0.5376005092612183
DB00132,DB01029,0.4806344603153027
DB00132,DB00762,0.4051502051102203
DB00132,DB00982,0.4778559546185052
DB00132,DB01026,0.4881288033449816
DB00132,DB01009,0.4291915406885356
DB00132,DB00465,0.4503101344641065
DB00132,DB01097,0.4071959603376774
DB00132,DB01137,0.42643948455029285
DB00132,DB00431,0.42737754213428564
DB00132,DB00132,0.8333333333333334
DB00132,DB00978,0.4259825689990377
DB00132,DB00227,0.4809152511610258
DB00132,DB00737,0.38917502057903136
DB00132,DB00603,0.440667925
DB00132,DB00253,0.477169312
DB00132,DB00784,0.43634961980035697
DB00132,DB00351,0.47282216196052196
DB00132,DB00814,0.4320149626879221
DB00132,DB00532,0.3779285258303406
DB00132,DB00244,0.4500266880397066
DB00132,DB00959,0.4811053997622201
DB00132,DB00379,0.41345009625636503
DB00132,DB01110,0.3709989766122379
DB00132,DB00834,0.48830329326870653
DB00132,DB00648,0.43193342934551887
DB00132,DB01204,0.4269121900570332
DB00132,DB00764,0.47389922506731813
DB00132,DB00218,0.428091977
DB00132,DB00461,0.447913904
DB00132,DB01183,0.4428664079793905
DB00132,DB00788,0.43591690806387273
DB00132,DB00731,0.5378447729527275
DB00132,DB00452,0.35474613975206387
