src,dst,similarity
DB00006,DB00006,1.0
DB00006,DB00278,0.6735937932945415
DB00006,DB00302,0.5600077227343672
DB00006,DB00407,0.530237948265726
DB00006,DB01225,0.5818636290700832
DB00006,DB04898,0.6731659322080873
DB00006,DB06695,0.841856444336386
DB00014,DB00014,1.0
DB00014,DB00035,0.522597193388572
DB00014,DB00050,0.9302206259620318
DB00014,DB00104,0.5062368180175095
DB00014,DB00211,0.5064569558260669
DB00014,DB00268,0.501733012099079
DB00014,DB00318,0.5207681155584383
DB00014,DB00388,0.5046305779914649
DB00014,DB00484,0.5059917438304955
DB00014,DB00497,0.5051061533044715
DB00014,DB00611,0.522262350239125
DB00014,DB00640,0.5354250305167795
DB00014,DB00644,0.590153431509026
DB00014,DB00647,0.5301491767208054
DB00014,DB00656,0.5025009432352483
DB00014,DB00704,0.5207491515155149
DB00014,DB00770,0.513841529124238
DB00014,DB00800,0.5042230749702931
DB00014,DB00824,0.5048802711053896
DB00014,DB00844,0.5226795576700217
DB00014,DB00899,0.5231268276889259
DB00014,DB00921,0.5245167625250985
DB00014,DB00956,0.5171271332014672
DB00014,DB01018,0.5041061328276003
DB00014,DB01192,0.51667849114836
DB00014,DB01200,0.5025804608168895
DB00014,DB06230,0.5220245167206891
DB00014,DB06825,0.7484566285835097
DB00014,DB09223,0.5020953970194878
DB00035,DB00014,0.522597193388572
DB00035,DB00035,1.0
DB00035,DB00050,0.5185317015124534
DB00035,DB00104,0.531622412142811
DB00035,DB00177,0.5121833584927172
DB00035,DB00246,0.5119009846692151
DB00035,DB00248,0.5095815166451775
DB00035,DB00275,0.5088876423641149
DB00035,DB00363,0.5076759977080526
DB00035,DB00370,0.5023593724995422
DB00035,DB00559,0.5150127260361236
DB00035,DB00571,0.5021835809588165
DB00035,DB00598,0.5098566123124789
DB00035,DB00637,0.5068047382438795
DB00035,DB00678,0.509160209769436
DB00035,DB00696,0.5186785397830925
DB00035,DB00734,0.5161929450991016
DB00035,DB00796,0.5216677907624053
DB00035,DB00866,0.5013988961253483
DB00035,DB00876,0.5131027507856799
DB00035,DB00938,0.5077063912417572
DB00035,DB00960,0.5017828581562949
DB00035,DB00983,0.5016322085023913
DB00035,DB01149,0.5127337113775973
DB00035,DB01200,0.5196182681220453
DB00035,DB01224,0.5075152312596131
DB00035,DB01238,0.5138289425269494
DB00035,DB01240,0.5051688355698182
DB00035,DB01267,0.5165471348762186
DB00035,DB01359,0.5016256175716095
DB00035,DB04846,0.5077764217741546
DB00035,DB04861,0.5028663813620097
DB00035,DB06196,0.550617334858134
DB00035,DB06268,0.5126596304439136
DB00035,DB06825,0.5263985828148845
DB00035,DB08815,0.5024880045891472
DB00035,DB08932,0.5145574197351731
DB00035,DB13919,0.5101806686896998
DB00050,DB00014,0.9302206259620318
DB00050,DB00035,0.5185317015124534
DB00050,DB00050,1.0
DB00050,DB00104,0.5000367861375802
DB00050,DB00211,0.5055708697995743
DB00050,DB00268,0.5007537605477165
DB00050,DB00318,0.5198148850509131
DB00050,DB00388,0.504339309753623
DB00050,DB00484,0.5052174588247201
DB00050,DB00497,0.5041765094037
DB00050,DB00611,0.5213040799898897
DB00050,DB00640,0.5346577912226088
DB00050,DB00644,0.5527913291541127
DB00050,DB00647,0.5294866419344099
DB00050,DB00656,0.5017433126563572
DB00050,DB00704,0.5194817896574645
DB00050,DB00770,0.5127384015175437
DB00050,DB00800,0.5033377746521699
DB00050,DB00824,0.5042052201876202
DB00050,DB00844,0.5214509313801472
DB00050,DB00899,0.5219424537760634
DB00050,DB00921,0.522745948583823
DB00050,DB00956,0.5161466488782017
DB00050,DB01018,0.5038923757687191
