Drug,Drug,similarity
DB00014,DB00014,1
DB00014,DB00035,0.522597193
DB00014,DB00104,0.5062368180175095
DB00014,DB00131,0.402159173
DB00014,DB00177,0.47629049083409325
DB00014,DB00181,0.4626153697834523
DB00014,DB00186,0.4089694022860382
DB00014,DB00187,0.46614230344661456
DB00014,DB00193,0.48263544130908836
DB00014,DB00201,0.42060486819678083
DB00014,DB00211,0.5064569558260669
DB00014,DB00216,0.4399802060904179
DB00014,DB00221,0.4462298378752793
DB00014,DB00240,0.4175673913036802
DB00014,DB00245,0.4834776212660035
DB00014,DB00246,0.46955377708724494
DB00014,DB00248,0.46691072436798625
DB00014,DB00253,0.41732281851007325
DB00014,DB00264,0.44714189414189415
DB00014,DB00268,0.501733012
DB00014,DB00273,0.4013928766029131
DB00014,DB00275,0.4742829836961695
DB00014,DB00277,0.41252846115294123
DB00014,DB00287,0.45584148340947267
DB00014,DB00295,0.48649437279662777
DB00014,DB00315,0.49186473488137245
DB00014,DB00318,0.5207681155584383
DB00014,DB00324,0.41640043703485635
DB00014,DB00333,0.4325592543025234
DB00014,DB00334,0.4346072093067949
DB00014,DB00335,0.44759546356098084
DB00014,DB00342,0.4634231749063448
DB00014,DB00346,0.4645828938708653
DB00014,DB00349,0.4125667285345327
DB00014,DB00353,0.4791016398781098
DB00014,DB00354,0.4764823054253044
DB00014,DB00363,0.464737472
DB00014,DB00366,0.43143409523738185
DB00014,DB00368,0.44554046426166155
DB00014,DB00371,0.4107674479542888
DB00014,DB00376,0.490575121
DB00014,DB00387,0.49010557250384174
DB00014,DB00388,0.5046305779914649
DB00014,DB00392,0.4599077051352434
DB00014,DB00394,0.4230102957244591
DB00014,DB00404,0.41250667070460906
DB00014,DB00408,0.4667646989339305
DB00014,DB00413,0.4499449694542592
DB00014,DB00424,0.49179047743952076
DB00014,DB00433,0.4620183214801003
DB00014,DB00443,0.41736593635306063
DB00014,DB00449,0.4418862032061884
DB00014,DB00451,0.4122237091154841
DB00014,DB00454,0.4258111400186373
DB00014,DB00455,0.40928445340681224
DB00014,DB00457,0.48557352126052505
DB00014,DB00470,0.4855029622978238
DB00014,DB00471,0.46018408904896946
DB00014,DB00475,0.41264792301568437
DB00014,DB00477,0.43423003989763514
DB00014,DB00484,0.5059917438304955
DB00014,DB00490,0.46807224243199236
DB00014,DB00497,0.5051061533044715
DB00014,DB00502,0.45232084383706667
DB00014,DB00508,0.48340804423503864
DB00014,DB00521,0.4488713074023618
DB00014,DB00549,0.4212228360007848
DB00014,DB00559,0.4722303825293767
DB00014,DB00571,0.46004643116125515
DB00014,DB00572,0.4795238683517606
DB00014,DB00575,0.48021526619305055
DB00014,DB00588,0.4179798578579807
DB00014,DB00589,0.4745549996086111
DB00014,DB00590,0.47220729032168923
DB00014,DB00591,0.4291292539620337
DB00014,DB00598,0.4532698701518905
DB00014,DB00604,0.4433388618951342
DB00014,DB00611,0.52226235
DB00014,DB00612,0.4485217385283989
DB00014,DB00620,0.4172854853699938
DB00014,DB00623,0.4213518318342963
DB00014,DB00635,0.4183638425573677
DB00014,DB00637,0.42502998714642587
DB00014,DB00640,0.5354250305167795
DB00014,DB00644,0.590153432
DB00014,DB00647,0.5301491767208054
DB00014,DB00651,0.45806733612708483
DB00014,DB00654,0.45588285931148537
DB00014,DB00659,0.40628154257556504
DB00014,DB00663,0.41716388739948557
DB00014,DB00668,0.4545626739893347
DB00014,DB00669,0.4897289410763607
DB00014,DB00678,0.47294616654777694
DB00014,DB00679,0.4505713535637584
DB00014,DB00696,0.4734802534261992
DB00014,DB00699,0.46503523373056915
DB00014,DB00704,0.5207491515155149
DB00014,DB00714,0.45312545428102596
DB00014,DB00734,0.4852114910341092
DB00014,DB00741,0.42261622824761264
DB00014,DB00747,0.47963845944692735
DB00014,DB00751,0.4471892776986606
DB00014,DB00764,0.41857456254813563
DB00014,DB00770,0.513841529
DB00014,DB00796,0.48500534419653496
DB00014,DB00800,0.5042230749702931
DB00014,DB00810,0.45229883745000005
DB00014,DB00813,0.4746900655409854
DB00014,DB00816,0.42916563312967804
DB00014,DB00829,0.4120674387200183
DB00014,DB00831,0.4327283423459593
DB00014,DB00834,0.4263350214067884
DB00014,DB00835,0.49944889676920684
DB00014,DB00844,0.5226795576700217
DB00014,DB00846,0.41878732275148617
DB00014,DB00860,0.4174067728833733
DB00014,DB00863,0.43183867159208295
DB00014,DB00876,0.474402648
DB00014,DB00899,0.5231268276889259
DB00014,DB00905,0.4736070189814607
DB00014,DB00917,0.4510494636286908
DB00014,DB00920,0.4217824890529054
DB00014,DB00921,0.5245167625250985
DB00014,DB00929,0.45391949877301235
DB00014,DB00933,0.47861553646428584
DB00014,DB00938,0.456040312
DB00014,DB00949,0.40158432107531555
DB00014,DB00952,0.4922511606295675
DB00014,DB00953,0.45036824002552317
DB00014,DB00956,0.5171271332014672
DB00014,DB00959,0.417488303
DB00014,DB00960,0.45977711955950734
DB00014,DB00966,0.4305279759546214
DB00014,DB00968,0.46196556803833677
DB00014,DB00983,0.4529175616971743
DB00014,DB00988,0.4437010494768392
DB00014,DB00998,0.4291650567996444
DB00014,DB01001,0.44750902031577966
DB00014,DB01013,0.41945088428148186
DB00014,DB01018,0.5041061328276003
DB00014,DB01029,0.42883702583872246
DB00014,DB01043,0.4056178173658975
DB00014,DB01062,0.4932621356598564
DB00014,DB01065,0.4119462428770308
DB00014,DB01068,0.41019026383428586
DB00014,DB01069,0.44127251532246775
DB00014,DB01075,0.4770441429665562
DB00014,DB01085,0.4883954021498103
DB00014,DB01114,0.44566227562352556
DB00014,DB01118,0.4277986593281289
DB00014,DB01136,0.41985881067906927
DB00014,DB01142,0.4592507694743291
DB00014,DB01146,0.4402278740431096
DB00014,DB01162,0.46839257938884266
DB00014,DB01173,0.4164454896138003
DB00014,DB01176,0.4239004168054077
DB00014,DB01192,0.516678491
DB00014,DB01193,0.4508045784567003
DB00014,DB01200,0.5025804608168895
DB00014,DB01203,0.44842818252495675
DB00014,DB01214,0.4481815369138204
DB00014,DB01221,0.40069331175467465
DB00014,DB01222,0.42024394108000385
DB00014,DB01223,0.4162409527898326
DB00014,DB01224,0.48249780119691504
DB00014,DB01231,0.4912868979788771
DB00014,DB01233,0.48200690423604026
DB00014,DB01234,0.4159432758574446
DB00014,DB01235,0.4669178187102221
